TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
784,30.7,0.6669377,1.726132,2.244309,30.79926,22.47519,1017.199,2.247915,976.6667,30.66667,1747.667,50.01977,333.9064,1
785,30.8,0.5460482,1.661669,2.251884,30.7075,23.77833,1017.198,2.250673,976.5667,30.86667,1743.667,50.01837,334.0261,1
786,30.16667,1.812403,3.490834,5.693183,31.43542,23.03186,1017.156,2.256207,976.55,31.06667,1747.833,50.00207,334.1259,1
787,30.48333,1.693191,1.957021,3.297061,31.95433,22.689,1017.162,2.261927,976.5167,31.26667,1753.833,50.0066,334.2855,1
788,31.28333,0.8313502,1.44829,2.419139,31.92567,21.54033,1017.157,2.261682,976.5667,31.46667,1756,50.0139,334.3653,1
789,29.63333,0.7065798,2.188522,2.757936,31.01492,22.69593,1017.161,2.262029,976.5667,31.66667,1751.833,50.0247,334.505,1
790,31.71667,0.5600837,1.693279,2.141066,31.987,22.15967,1017.158,2.25854,976.5667,31.86667,1753.333,50.00387,334.5049,1
791,31.1,1.430958,0.8404777,2.317141,32.94367,20.89733,1017.149,2.25758,976.5667,32.03333,1753.667,50.00213,334.6845,1
792,31.63333,0.576348,1.603119,2.172621,33.25746,20.7861,1017.121,2.259886,976.5,32.2,1754.167,50.02248,334.7244,1
793,32.48333,0.4737742,1.552449,1.989563,32.96517,20.356,1017.089,2.263477,976.5,32.36667,1760.5,50.00735,334.7045,1
794,31.95,0.4073837,1.421476,1.852515,32.79067,20.62917,1017.082,2.265518,976.4833,32.53333,1763.833,50.00159,334.9439,1
795,32.86667,0.4392061,1.401168,1.798866,33.59051,19.81763,1017.078,2.265185,976.5,32.66667,1761.333,50.02844,335.0636,1
796,33.16667,0.4148542,1.388084,1.814835,33.629,19.04583,1017.087,2.265763,976.5167,32.83333,1761.667,50.02377,335.0037,1
797,32.13333,0.4105515,1.379471,1.785105,33.50467,19.97583,1017.084,2.265028,976.5167,32.96667,1764,50.01364,335.2631,1
798,33.26667,0.3903862,1.310713,1.684708,33.39593,18.26559,1017.105,2.265434,976.5833,33.06667,1762,50.00099,335.283,1
799,33.7,0.35596,1.283961,1.635113,33.09017,17.71383,1017.123,2.266988,976.6,33.23333,1767,50.01974,335.303,1
800,33.45,0.3623776,1.471468,1.821118,33.12271,18.44712,1017.108,2.26369,976.5833,33.36667,1769.833,50.00639,335.5025,1
801,33.31667,0.396564,1.148877,1.563237,33.7495,18.96817,1017.077,2.25758,976.5667,33.46667,1766.5,50.01852,335.4426,1
802,31.23333,0.5014525,1.476536,2.061997,34.38633,18.69167,1017.069,2.25598,976.5833,33.56667,1766,49.9912,335.6222,1
803,32.38333,0.4991877,1.638161,2.075016,34.56898,17.58203,1017.063,2.255978,976.5833,33.7,1772.667,49.99249,335.702,1
804,32.08333,0.4008505,1.299447,1.693688,33.901,18.50833,1017.052,2.25541,976.5333,33.8,1771,50.02507,335.7818,1
805,33.18333,0.3761047,1.284593,1.627529,34.16317,18.01567,1017.033,2.25492,976.5333,33.9,1770.5,50.01931,335.9015,1
806,33.3,0.3105805,1.151242,1.469539,34.28898,16.80119,1017.022,2.252495,976.55,34,1771.333,50.0047,335.8816,1
807,32.2,0.3965862,1.165632,1.54982,34.89817,17.45633,1016.999,2.255972,976.4833,34.1,1773,50.00008,335.9614,1
808,32.63333,0.363314,1.147332,1.522101,35.40767,16.23217,1016.979,2.25894,976.4833,34.2,1770.333,50.01344,336.1808,1
809,33.21667,0.4100807,1.237099,1.624543,35.34831,16.65729,1016.949,2.259237,976.3833,34.3,1776.333,50.01437,336.1609,1
