TheTime,O3,NO,NO2,NOx,T,RH,P,Lite,O3CellP,O3CellT,O3Flow,NOxReacT,NOxConvT,NOxFlow
"01/26/23 10:38:24",30.40000,1.154708,2.285315,3.341416,16.57880,33.28420,995.4762,1733.769,955.9000,27.80000,1727.600,49.98862,288.8475,1.000000
"01/26/23 10:39:24",30.98333,1.213203,1.775797,2.989000,13.26519,33.09827,995.4406,1975.526,955.9833,28.15000,1728.333,49.99473,290.3586,1.000000
"01/26/23 10:40:24",31.93333,1.750322,2.341122,4.091444,12.52804,34.11216,995.5076,2208.082,955.9667,28.53333,1734.667,49.96284,291.6280,1.000000
"01/26/23 10:41:24",31.26667,0.8867380,1.723885,2.610623,13.17615,35.27654,995.5548,1917.028,956.0333,28.85000,1738.500,49.97531,292.9175,1.000000
"01/26/23 10:42:24",31.01667,1.265670,1.488477,2.754147,15.93176,34.09608,995.6020,1969.739,956.0833,29.20000,1748.500,49.96324,294.1868,1.000000
"01/26/23 10:43:24",29.80000,1.377073,2.533698,3.910771,12.86137,33.74392,995.6733,2149.328,956.2000,29.55000,1752.167,49.99554,295.3152,1.000000
"01/26/23 10:44:24",29.63333,2.535302,1.790106,4.325408,13.25269,34.50365,995.6012,3064.919,956.1167,29.85000,1757.833,49.97424,296.4838,1.000000
"01/26/23 10:45:24",30.10000,1.635911,2.384076,4.019987,12.64412,33.85373,995.5882,3533.814,956.1500,30.06667,1757.500,49.97186,297.6725,1.000000
"01/26/23 10:46:24",30.56667,0.9621919,2.029698,2.991890,14.02745,35.09216,995.5655,3283.291,956.0833,30.35000,1754.000,49.96416,298.7203,1.000000
"01/26/23 10:47:24",29.61667,1.858246,1.575722,3.433968,14.59481,35.05865,995.5642,3360.887,956.0000,30.63333,1750.000,50.00252,299.8275,1.000000
"01/26/23 10:48:24",28.61667,0.7708322,2.209487,2.980319,16.82686,32.68118,995.5247,3063.910,956.0167,30.85000,1759.833,49.97047,300.9075,1.000000
"01/26/23 10:49:24",30.03333,1.038685,2.225138,3.263823,14.46865,33.13538,995.5202,2734.104,955.9833,31.10000,1754.833,49.99418,301.8252,1.000000
"01/26/23 10:50:24",30.38333,0.6741343,2.092699,2.766833,14.12706,35.68235,995.5657,2448.243,956.0500,31.33333,1756.167,50.03740,302.8228,1.000000
"01/26/23 10:51:24",29.76667,1.899743,0.8529629,2.752706,13.37627,34.81294,995.5708,2707.779,956.1000,31.53333,1758.667,50.00952,303.7804,1.000000
"01/26/23 10:52:24",30.58333,0.7002763,2.030547,2.730823,13.55615,36.76308,995.5469,3623.241,956.0333,31.73333,1758.833,49.96262,304.6383,1.000000
"01/26/23 10:53:24",30.18333,0.7834916,2.002778,2.786270,14.95039,34.88725,995.5343,3917.827,956.0500,31.93333,1758.667,50.01104,305.5561,1.000000
"01/26/23 10:54:24",31.03333,0.7239958,1.555924,2.279920,11.92549,35.57980,995.5459,3652.210,956.1167,32.10000,1768.167,49.98875,306.2743,1.000000
"01/26/23 10:55:24",31.15000,0.5690080,1.713423,2.282431,11.80808,36.84788,995.6671,2832.688,956.1500,32.30000,1764.333,49.98446,307.2319,1.000000
"01/26/23 10:56:24",30.51667,0.5539585,1.883481,2.437440,13.00882,37.33824,995.6265,2506.577,956.1167,32.45000,1760.833,49.98428,308.0499,1.000000
"01/26/23 10:57:24",29.78333,0.6182181,1.911888,2.530106,14.21654,36.94788,995.5308,2756.773,956.0333,32.60000,1760.667,49.98725,308.8280,1.000000
"01/26/23 10:58:24",29.10000,0.5792302,1.831061,2.410291,13.75176,36.37922,995.5871,2758.401,956.1000,32.75000,1759.167,50.00066,309.6460,1.000000
"01/26/23 10:59:24",28.66667,1.404330,1.385050,2.789380,13.34255,35.16353,995.6245,2481.085,956.1500,32.90000,1764.333,50.01384,310.2844,1.000000
"01/26/23 11:00:24",29.78333,2.928851,0.3939499,3.322801,12.25404,35.14423,995.6681,2638.387,956.2333,33.05000,1765.333,49.99553,311.0625,1.000000
"01/26/23 11:01:24",28.76667,0.5490728,1.742234,2.291307,14.68980,37.36980,995.6159,2950.177,956.2333,33.18333,1771.500,50.00427,311.7209,1.000000
"01/26/23 11:02:24",29.08333,0.5489725,1.910803,2.459776,14.75745,34.29314,995.6543,4126.242,956.2833,33.30000,1768.500,49.99909,312.3194,1.000000
"01/26/23 11:03:24",29.01667,0.5068731,1.942976,2.449849,15.40500,36.30846,995.7083,6190.731,956.2667,33.45000,1761.833,50.02381,313.0177,1.000000
"01/26/23 11:04:24",29.56667,0.5160797,1.776547,2.292627,13.79216,33.08961,995.6441,8637.895,956.2333,33.55000,1775.500,50.01710,313.5963,1.000000
"01/26/23 11:05:24",30.23333,0.5241037,1.584646,2.108749,13.93327,34.62519,995.6763,7297.178,956.3333,33.65000,1766.500,49.99754,314.1948,1.000000
"01/26/23 11:06:24",30.15000,0.6596148,1.665914,2.325529,12.84098,35.01529,995.6892,7551.404,956.3167,33.78333,1769.167,50.02462,314.7535,1.000000
"01/26/23 11:07:24",30.06667,0.6461226,1.718028,2.364151,15.84275,36.18686,995.6135,6577.195,956.3000,33.88333,1769.333,50.04398,315.3121,1.000000
"01/26/23 11:08:24",30.26667,0.5841627,1.553508,2.137670,13.39038,32.55327,995.6392,6053.939,956.3667,33.98333,1767.833,50.00653,315.9505,1.000000
"01/26/23 11:09:24",31.71667,0.5073786,1.592066,2.099445,11.43706,34.94804,995.5982,4970.058,956.2833,34.08333,1770.833,49.98640,316.5890,1.000000
"01/26/23 11:10:24",31.81667,0.4492370,1.664318,2.113555,11.82538,35.37615,995.7288,4249.328,956.4000,34.18333,1771.333,49.98411,316.9680,1.000000
"01/26/23 11:11:24",31.43333,0.4649211,1.609436,2.074357,11.95647,34.55137,995.7357,3411.984,956.4333,34.25000,1765.833,49.99440,317.6863,1.000000
